NCT Number	Status	Study Results	Interventions	Outcome Measures	Phases	URL
NCT01272557	Unknown status	No Results Available	Drug: Doxorubicin|Drug: Sorafenib	Time to progression (TTP) according to RECIST 1.1 criteria|• Assessment of overall survival (OS) of disease control rate (CR, PR, SD) to RECIST 1.1 criteria and to EASL criteria • Assessment of safety and quality of life (FACT-Hep) and potential of biomarkers to predict the tumor response	Phase 2	https://ClinicalTrials.gov/show/NCT01272557
NCT00526617	Completed	No Results Available	Drug: ABT-888|Drug: Temozolomide	Maximum Tolerated Dose|Safety and Tolerability|Pharmacokinetic Profile	Phase 1	https://ClinicalTrials.gov/show/NCT00526617
NCT02301091	Recruiting	No Results Available	Procedure: TACE|Procedure: RFA|Drug: pirarubicin,mitomycin and lobaplatin	Overall survival rates|Progression-free survival rates|Response rate of PVTT|Number of participants with adverse events	Phase 3	https://ClinicalTrials.gov/show/NCT02301091
NCT03591965	Not yet recruiting	No Results Available	Drug: ATG-008	Cmax|AUC|The incidence of treatment emergent adverse events (TEAEs) & SAE assessed by CTCAE v4.03|ORR|OS|TTP|PFS|DCR|DOR|TTR|6, 9 and 12 month of survival rate	Phase 2	https://ClinicalTrials.gov/show/NCT03591965
NCT03586973	Recruiting	No Results Available	Drug: Cabozantinib	24-Week Progression-Free Survival Rate (PFSR)|Progression-Free Survival (PFS)|Objective Response Rate (ORR)|Disease Control Rate (DCR)|Overall Survival (OS)	Phase 2	https://ClinicalTrials.gov/show/NCT03586973
NCT03578874	Recruiting	No Results Available	Drug: Sorafenib|Drug: Capecitabine|Drug: Oxaliplatin	Resectability|Objective response rate|Progression-free survival|Overall survival	Phase 2	https://ClinicalTrials.gov/show/NCT03578874
NCT01374750	Completed	No Results Available	Drug: Sirolimus|Drug: m-TOR inhibitor free	To evaluate recurrence-free survival|To evaluate the survival rate|To evaluate the renal function|To evaluate the safety with sirolimus	Phase 2	https://ClinicalTrials.gov/show/NCT01374750
NCT02774187	Active, not recruiting	No Results Available	Drug: Sorafenib|Procedure: Hepatic arterial infusion chemotherapy|Drug: Folfox Protocol	Overall survival|Time to progression|Adverse Events|Number of of Patients developed Adverse Events	Phase 3	https://ClinicalTrials.gov/show/NCT02774187
NCT01533324	Unknown status	No Results Available	Drug: S-1 combined with Leucovorin	DCR|TTP ( time to progression)|OS ( overall survival)|safety	Phase 2	https://ClinicalTrials.gov/show/NCT01533324
NCT03519997	Recruiting	No Results Available	Drug: Pembrolizumab|Drug: Bavituximab	Overall Response Rate|Overall Survival|Safety and Tolerability: rates of adverse events according to the CTCAE	Phase 2	https://ClinicalTrials.gov/show/NCT03519997
NCT03516071	Recruiting	No Results Available	Drug: Brivanib 800 mg, QD|Drug: Brivanib 400 mg, BID	Disease control rate (DCR) at 3 months from randomization|Time to Progress (TTP)|Disease control rate (DCR) at 6 months from randomization|Progression-free survival (PFS)|Objective response rate (ORR)|Overall survival (OS)	Phase 2	https://ClinicalTrials.gov/show/NCT03516071
NCT03511703	Not yet recruiting	No Results Available	Drug: Apatinib|Drug: Chemotherapy drugs+Iodized oil	overall survival	Phase 2	https://ClinicalTrials.gov/show/NCT03511703
NCT03510871	Not yet recruiting	No Results Available	Drug: nivolumab, ipilimumab	the percentage of subjects with tumor shrinkage after study drug treatment	Phase 2	https://ClinicalTrials.gov/show/NCT03510871
NCT03510416	Not yet recruiting	No Results Available	Drug: Apatinib|Radiation: TACE	Time To Progression|Overall Survival	Phase 2	https://ClinicalTrials.gov/show/NCT03510416
NCT03469479	Recruiting	No Results Available	Drug: FOLFOX|Procedure: Hepatic resection	Overall survival|Disease-free survival|Adverse Events	Phase 3	https://ClinicalTrials.gov/show/NCT03469479
NCT03518502	Recruiting	No Results Available	Procedure: transarterial chemoembolization (TACE)|Drug: Sorafenib	Overall survival|Time to progression (TTP)|Progression free survival (PFS)|Median survival time (MST)	Phase 4	https://ClinicalTrials.gov/show/NCT03518502
NCT03447951	Not yet recruiting	No Results Available	Drug: Para-Toluenesulfonamide	Objective Response Rate (ORR)|Local disease control rate (LDCR)|Time to treated tumor progression (TTTTP)|Three-year overall survival (OS)|Time to tumor stage progression (TSP)|Difference in ORR between group 1 and group 2|Difference in LDCR between group 1 and group 2|Difference in TTTTP between group 1 and group 2|Incidence of Treatment-Emergent Adverse Events|FACT-Hep quality of life score|EQ-5D-5L quality of life score	Phase 2	https://ClinicalTrials.gov/show/NCT03447951
NCT03434379	Recruiting	No Results Available	Drug: Atezolizumab|Drug: Bevacizumab|Drug: Sorafenib	Overall Survival (OS)|Objective Response (OR) defined as complete response or partial response as determined by the Investigator according to RECIST V1.1|Progression Free Survival (PFS) as Determined by the Investigator According to RECIST v1.1|Time to Progression (TTP) as Determined by the Investigator According to RECIST v1.1|Duration of Response (DOR) as Determined by the Investigator According to RECIST v1.1|OR as Determined by an Independent Review Facility (IRF) According to Response Evaluation Criteria in Solid Tumors, v1.1 (RECIST v1.1)|PFS as Determined by an IRF According to RECIST v1.1|TTP as Determined by an IRF According to RECIST v1.1|DOR as Determined by an IRF According to RECIST v1.1|OR as Determined by an IRF According to Hepatocellular Carcinoma Modified RECIST (HCC mRECIST)|PFS Determined by an IRF According to HCC mRECIST|TTP as Determined by an IRF According to HCC mRECIST|DOR as Determined by an IRF According to HCC mRECIST|Time to Deterioration (TTD) in Patient-Reported HRQoL/GHS, physical functioning, and role functioning, as determined by European Organization for Research and Treatment of Cancer (EORTC) Quality-of-Life Questionnaire-Core 30 (QLQ-C30) Score|OR as determined by the investigator according to RECIST v1.1|Serum Concentration of Atezolizumab|Change from Baseline in Anti-Drug Antibodies (ADAs) to Atezolizumab|Percentage of Participants with Adverse Events|OR as Determined by an IRF According to RECIST v1.1|OS	Phase 3	https://ClinicalTrials.gov/show/NCT03434379
NCT03433703	Recruiting	No Results Available	Drug: Lenvatinib	Number of Participants with Treatment-emergent Adverse Events|Number of Participants with Treatment-emergent Serious Adverse Events|Overall Survival (OS)|Progression-free Survival (PFS)|Time to Progression (TTP)	Phase 2	https://ClinicalTrials.gov/show/NCT03433703
NCT03418922	Recruiting	No Results Available	Drug: Lenvatinib|Drug: Nivolumab	Part 1: Number of Participants with Dose-Limiting Toxicities (DLTs)|Part 1 and Part 2: Number of Participants with Any Serious and/or Non-serious Adverse Event|Part 1 and Part 2: Overall Response Rate (ORR)|Part 1 and Part 2: Clinical Benefit Rate (CBR)|Part 1 and Part 2: Disease Control Rate (DCR)|Part 2: Duration of Response (DOR)|Part 2: Progression Free Survival (PFS)|Part 2: Time to Progression (TTP)|Part 2: Time to Response (TTR)|Part 2: Overall Survival (OS)	Phase 1	https://ClinicalTrials.gov/show/NCT03418922
NCT03407495	Not yet recruiting	No Results Available	Drug: IOP Injection	The Sensitivity and specificity of IOP-enhanced MRI|Optimal time to perform a MRI scan after injection of IOP|The Number of lesions detected in liver|The size of lesions detected in liver	Phase 2	https://ClinicalTrials.gov/show/NCT03407495
NCT03389126	Recruiting	No Results Available	Drug: Avelumab	response rate	Phase 2	https://ClinicalTrials.gov/show/NCT03389126
NCT03382886	Recruiting	No Results Available	Drug: Nivolumab|Drug: Bevacizumab	Adverse Events that occur|Determine the maximum tolerated dose (MTD) or recommended phase 2 dose (RP2D)|Progression Free Survival (PFS)|Overall Survival	Phase 1	https://ClinicalTrials.gov/show/NCT03382886
NCT03338647	Recruiting	No Results Available	Drug: DEB|Radiation: SBRT	Progression (total of local, intra- and extrahepatic)|Response|Local control of treated tumor|Intrahepatic failure|Extrahepatic failure|Overall survival|Toxicity|Cost-benefit	Phase 3	https://ClinicalTrials.gov/show/NCT03338647
NCT03337841	Not yet recruiting	No Results Available	Drug: Pembrolizumab	One-year recurrence-free survival rate|Recurrence free survival|Overall survival|Objective response rate after neoadjuvant phase|Tumor markers|Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]	Phase 2	https://ClinicalTrials.gov/show/NCT03337841
NCT03303469	Recruiting	No Results Available	Drug: FMISO	Quantitate HCC tumor hypoxia at baseline using FMISO PET.|Measure changes in HCC tumor hypoxia and blood flow after TACE, prior to radiotherapy.|Measure changes in treated HCC tumor hypoxia following TACE and radiotherapy	Phase 2	https://ClinicalTrials.gov/show/NCT03303469
NCT03298451	Recruiting	No Results Available	Drug: Durvalumab|Drug: Tremelimumab (Regimen 1)|Drug: Tremelimumab (Regimen 2)|Drug: Sorafenib|Drug: Durvalumab (Regimen 1)|Drug: Durvalumab (Regimen 2)	Overall Survival (OS)|Time to Progression (TTP)|Progression-free survival (PFS)|Objective response rate (ORR)|Disease control rate (DCR)|Duration of response (DoR)|Health status/quality of life measured by European Organization for Research and Treatment of Cancer (EORTC) 30-item core quality of life questionnaire (QLQ-C30)|Presence of ADA for durvalumab and tremelimumab|The pharmacokinetics (PK) of durvalumab and tremelimumab as determined by trough concentration|Disease-related symptoms measured by EORTC 18-item hepatocellular cancer health-related quality of life questionnaire (QLQ-HCC18)|The pharmacokinetics (PK) of durvalumab and tremelimumab as determined by peak concentration	Phase 3	https://ClinicalTrials.gov/show/NCT03298451
NCT03268499	Recruiting	No Results Available	Drug: Cisplatin	Time to progression (TTP)	Phase 2	https://ClinicalTrials.gov/show/NCT03268499
NCT03261791	Recruiting	No Results Available	Drug: Apatinib	recurrence-free survival|overall survival|safety: the potential side effects	Phase 2	https://ClinicalTrials.gov/show/NCT03261791
NCT03245190	Recruiting	No Results Available	Drug: Chiauranib	16 weeks progression-free rate (16W-PFR)|Rate of Treatment-Related Adverse Events in Study Participants|Time to progression(TTP)|Objective response rate (ORR)|Disease-control rate (DCR)|Duration of response (DOR)|Progression-free survival (PFS)|Overall survival (OS)|6 months progression-free rate|6 months overall survival rate|12 months overall survival rate	Phase 1	https://ClinicalTrials.gov/show/NCT03245190
NCT03236649	Not yet recruiting	No Results Available	Drug: Icaritin|Drug: Sorafenib Tosylate Tablets	Overall survival (OS)|Progression-free survival (PFS)|Time to progress（TTP）|Overall response rate (ORR)|Overall disease control rate (DCR)|Assessment on Quality of life 1|Assessment on Quality of life 2	Phase 3	https://ClinicalTrials.gov/show/NCT03236649
NCT03236636	Not yet recruiting	No Results Available	Drug: Icaritin|Drug: HUACHANSU PIAN	Overall survival (OS)|Progression-free survival (PFS)|Time to progress（TTP）|Overall response rate (ORR)|Overall disease control rate (DCR)|Assessment on Quality of life 1|Assessment on Quality of life 2	Phase 3	https://ClinicalTrials.gov/show/NCT03236636
NCT03235167	Not yet recruiting	No Results Available	Drug: CpG DNA|Procedure: transcatheter arterial chemoembolization|Drug: Placebo - Concentrate	survival time|metastasis free survival time	Phase 1	https://ClinicalTrials.gov/show/NCT03235167
NCT03212625	Recruiting	No Results Available	Drug: Urea Cream 20%|Drug: Placebos	Hand-Foot Skin Reaction(HFSR) prevalence rate on each group|Event free survival of HFSR|Severe HFSR prevalence rate|Prevalence of discontinuation or reduction of sorafenib|Assessment of Quality Of Life (QOL)|Overall survival|Tumor response|Other side effect	Phase 4	https://ClinicalTrials.gov/show/NCT03212625
NCT03208335	Recruiting	No Results Available	Drug: recombinant human endostatin	progress-free survival(PFS)|response rate(RR)|clinical benefit rate(CBR)|overall survival(OS)|adverse event(AE)|Quality of life (QOL)	Phase 2	https://ClinicalTrials.gov/show/NCT03208335
NCT03192618	Recruiting	No Results Available	Procedure: adjuvant transarterial chemoinfusion (TAI)|Drug: mFOLFOX6 (oxaliplatin, calcium folinate, and 5-FU)	Disease-free survival (DFS)|recurrence rate|Overall survival (OS)	Phase 3	https://ClinicalTrials.gov/show/NCT03192618
NCT03175705	Recruiting	No Results Available	Biological: HCC antigens-specific CD8+ T lymphocytes|Drug: IL-2|Drug: Tegafur	Incidence of Treatment-Emergent Adverse Events [Safety]|Biological activity of infused T cells	Phase 1	https://ClinicalTrials.gov/show/NCT03175705
NCT03175679	Recruiting	No Results Available	Biological: iNKT cells|Drug: IL-2|Drug: Tegafur	Incidence of Treatment-Emergent Adverse Events [Safety]|Biological activity of infused iNKT cells	Phase 1	https://ClinicalTrials.gov/show/NCT03175679
NCT03163992	Recruiting	No Results Available	Drug: Pembrolizumab	overall response rate|overall response	Phase 2	https://ClinicalTrials.gov/show/NCT03163992
NCT03145558	Recruiting	No Results Available	Drug: Tirapazamine|Drug: Doxorubicin	Progression Free Survival|Overall survival|Complete Response rate|Time to Embolization Failure|Duration of CR	Phase 2	https://ClinicalTrials.gov/show/NCT03145558
NCT00475956	Completed	No Results Available	Drug: AZD2171|Drug: AZD0530	Determine the safety and tolerability of ascending daily oral doses of AZD2171 when co-administered with AZD0530 to patients with advanced solid tumours by assessment of AEs, vital signs, HRCT Scans, clin chem, haematology, urinalysis, ECG and phys exam|Pharmacokinetics (PK) of AZD2171 alone and in combination with AZD0530|Safety and efficacy|Genetic variation of pathways targeted by AZD2171 and AZD0530	Phase 1	https://ClinicalTrials.gov/show/NCT00475956
NCT03116945	Recruiting	No Results Available	Drug: 68Gallium Citrate	Uptake of positron emitting radiotracer, 68Gallium Citrate will be measured in the lesions of hepatocellular carcinoma.	Phase 2	https://ClinicalTrials.gov/show/NCT03116945
